Date,Comments
"March 17, 2025","I’ve been using the Apple Magic Mouse for a few months now, and I can confidently say it’s one of the best mice I’ve ever had! First off, the design is incredibly sleek and minimalistic, which fits perfectly with my Mac setup. The wireless Bluetooth connection is seamless, and I’ve had zero issues with lag or disconnection.The multi-touch surface is a game-changer. I love how easy it is to navigate through pages and apps with gestures like swiping and scrolling. It makes using the mouse so much more intuitive and enjoyable, especially when multitasking between different apps and windows.The rechargeable battery is another huge plus. I’ve only had to charge it a few times, and it lasts for a surprisingly long time. It’s so much more convenient than dealing with disposable batteries.Overall, the Magic Mouse is smooth, responsive, and looks great on my desk. If you're in the Apple ecosystem and looking for a mouse that works effortlessly with your Mac or iPad, this is definitely the way to go. Highly recommend!"
"March 17, 2025","This is the best addition to any MacBook Pro ever! The pad is extremely awkward to use if you’re a first time MacBook Pro owner. This is our first MacBook Pro and it has a learning curve that you have to get use to using if you want to use the love that it is wireless via Bluetooth and eliminates the need for using one of the few USB ports on the MacBook Pro. It makes using your MacBook more convenient and easy to navigate than using the pad that is built into the laptop. Our MacBook Pro is the space gray version and we bought the same color mouse. I’ve used the wired mouse on the older Apple Mini Macs in the past and it was just a little bit different than what I was use to using which was a Windows OS mouse. If you’re a first time MacBook Pro user, you should invest in this mouse. The charge is great and last for several days or hours depending on how long you use your MacBook. The pad is a real learning curve and this will help eliminate a lot of frustration when you are a new MacBook Pro owner.As far as gaming goes, I can’t exactly say how well it works as I am not a gamer. But the response time , in my opinion, is fast and I think there are other options for gamers that are really into gaming that own a MacBook Pro and I’m sure they are aware of those options.I have owned three apple desktop counting the latest MacBook Pro and those both had a wired mouse and keyboard that was separate from the Mini Mac. Sitting down with my new laptop was quite a different experience than the other Apple desktop’s that we have had in the past and it is not like a Windows laptop in the way the pad works , but this was worth the price of not relying on the built in touchpad which I had a lot of learning to do if I was going to rely on the MacBook Pro built in pad.  Not a big fan of the white keyboard and mouse as we have had two different sets of the white items and they start to look kind of dirty after a few months of use. The one thing I absolutely miss about the older Mac Minis that ran on the Intel processor is that the newer M3 chipsets don’t have the ability to run Parallel’s which most people know what that means. I don’t really miss the ability to use Windows on my MacBook Pro now anyway because it was always the source of all of the problems we had with the older Mac minis in terms of malware and viruses. I do however miss the CD or DVD drive as well because I have a lot of Japanese MQA CDs and they can be unfolded to enjoy the full potential with a external drive and the software that you can buy for the MacBook Pro. It gets the most use as a MQA decoder than any other type of computer usage. We have the newest iPad Pro versions and they are almost as good as the MacBook Pro. I have heard that the newer versions that are coming out are going to be basically the “MacBook Pro Killer” as they are supposedly going to have a lot more RAM and powerful processors and the ability to run programs that only a desktop or MacBook Pro can handle now. But I think the price point is probably going to be outrageous for most people.My only regret is that I didn’t get the MacBook Pro Bluetooth keyboard in the space gray when they were more a available, because they are extremely hard to find now and expensive in comparison to the standard white model. The keyboard has to have the finger print reader on it as I would like to sit in in a cradle instead of having it opened up on my workstation. So that makes it even more difficult to find and expensive. I have seen used ones sell for twice the price of the new white version, but it is the only thing that is really left to buy for this set up."
"March 16, 2025","I absolutely love the Apple Magic Mouse! It’s sleek, lightweight, and fits perfectly in my hand. The multi-touch surface makes navigation smooth and intuitive, whether I’m using it with my Mac or iPad. The rechargeable battery lasts a long time, and pairing via Bluetooth is seamless. It’s a joy to use and looks great on my desk. Highly recommend it!"
"March 14, 2025",Very happy with this purchase. Easy to connect with any Mac. The quality feels very nice and durable. Pay a lot more because this mouse is worth it. Love the glide to slide through pages. No lag. Great click feel and noice. Functionality is great and does all that you need it to do.
"March 13, 2025","I have been super excited to try the Apple Magic Mouse.  I finally bought one yesterday.  I was able to get it same day since I live close to a distribution center!Here are my thoughts:Likes:Build Quality and Design: The Magic Mouse lives up to Apple’s reputation for premium build quality and sleek, modern aesthetics. It fits perfectly with my Apple Magic Keyboard and looks fantastic on my desk.Trackpad Surface: The multi-touch surface is truly a game-changer. It allows for intuitive gestures like swiping and scrolling, making navigation smooth and effortless.  Seriously, it took almost no time for me to realize this is better and easier than using a trackwheel or left/right mouse buttons.Seamless Connectivity: Pairing the mouse with my Mac was a breeze, thanks to its flawless Bluetooth connection. The connection remains stable, ensuring uninterrupted productivity.I am coming from a Satechi setup.  In all three of these areas, Apple's Magic Mouse is superior.  However, this in no way implies the Satechi setup is bad.  I guess it's all about bang for the buck.  Apple's setup is substantially more money.Dislikes:Scrolling Speed Adjustment: I had to make changes to the scrolling speed in the settings to suit my preference. While this wasn’t a major issue, it did require some extra time.  It would be ideal of Apple could figure out how optimize this out of the box, by making adjustments based on your existing mouse and settings.Charging Port Placement: The charging port being located on the bottom of the mouse is less than ideal. It makes it impossible to use the mouse while it’s charging, which can be quite inconvenient.Price: The Magic Mouse is on the pricier side for a mouse. Although it offers excellent features and design, the cost may be a consideration for some.Additional Insights from Other Users:Many users have praised the Magic Mouse for its sleek design, intuitive multi-touch surface, and seamless connectivity. The rechargeable battery and its long-lasting charge have been highlighted as significant improvements over previous models. Some users have noted the excellent performance in detailed tasks like graphic design and photo editing. However, the placement of the charging port and the high price point were common points of criticism.In summary, the Apple Magic Mouse is a perfect blend of style and functionality. Whether you’re a professional or a casual user, this mouse is bound to elevate your computing experience. Highly recommended, despite a few minor drawbacks."
"March 13, 2025","UPDATE 01/25/2025:Reduced a star, Magic Trackpad battery life has been barely lasting 2 weeks, turned off several gestures and will have to see if there are improvements. If abttery life lasts 1 month, that's reasonable, but 1-2 weeks of battery draining so much is a bit excessive. Will update again after a month.Reasons to get a Magic Mouse (USB-C) over the Magic Trackpad (USB-C)• Greater precision when selecting specific points• Greater accuracy when clicking, holding, and dragging (for highlighting text, or signing a signature)• Cheaper price $99 (on sale for $80 black friday/ holidays) vs $149 (no sale was seen)• Cleaner desk layout when paired with a magic keyboard and having the macbook on a stand• Better battery lifeReason to get a Magic Trackpad (USB-C) over the Magic Mouse (USB-C):• Larger surface area, greater range of movement/ motion without physically moving hand• Many gestures and better usage of gestures compared to magic mouse (such as two finger zoom, on the mouse you can only double tap to zoom and it is limited as it zooms for you rather than you choosing how much to zoom yourself)• Can charge the trackpad while still using it• Great to use for creative programs such as Photoshop, Illustrator, Premiere Pro, and the likes (being able to use your finger for tools such as brush, pencil, pen, ... is much easier to use, drawing with finger is somewhat equivalent to drawing with a pencil)Regardless of whichever device you choose to purchase, go to your system settings by clicking the apple logo at the top left of your screen, go to bluetooth, click info (i in a circle) on either the magic trackpad/ mouse, then click trackpad/ mouse settings. Here you will be able to customize the gestures and movement to your liking.TLDR: If you are a creative I recommend the trackpad for greater range of movement/ expression (especially if macbook is elevated on a stand), if you want a clean desk layout the magic mouse is a nice addition to the built-in macbook trackpad.However if you're not looking to stay in the apple ecosystem, there are better mouse options out there.It's nice to finally have usb-c across many apple products. Main reason I stopped using some products was because having a lightning cable was just inconvenient."
"March 12, 2025","I recently purchased the Apple Magic Mouse to pair with my MacBook, and overall, it works well with the Apple ecosystem. The sleek design is what you’d expect from Apple—modern and compact. It fits well with my minimalist setup.Some key points: • Great Integration: The mouse connects instantly with my MacBook, and I appreciate the smooth multi-touch gestures for scrolling and swiping. • Battery Life: The rechargeable battery is long-lasting. I only need to charge it occasionally, which is convenient.That said, the flat design can be a little uncomfortable for extended use, especially if you’re used to a more ergonomic mouse. Also, it’s on the pricier side, so I expected a little more in terms of comfort.If you’re in the Apple ecosystem and value design, it’s a great choice, but there are more comfortable options available for heavy use."
"March 11, 2025","These mice are simply the best you can get for your Mac (I haven't tried one on a PC but now that I think of it, I think I will, just to see how functional they are). The top of the mouse is a touch-sensitive surface and you can scroll, zoom, switch desktops and perform many other functions with just fingertip(s) on the surface. They are wonderfully ergonomic and make mousing a breeze. I am a computer professional and often spend entire days using the mouse almost constantly; I've never used a better one. They are solidly built and are rechargeable. I am currently using a Magic Mouse I got in 2016; I've never had to change a battery or do more than clean it now and then. I have several others for the other computers in my home and offices; I have never had a problem with any of them. Not one.The only design flaw with this device is the charging port. It was put on the bottom of the mouse and connecting a lightning cable to recharge it means that you cannot use it while it is charging. This is not a problem for me; at the end of every month, when finishing for the night, I connect both the mouse and my wireless keyboard and leave them overnight; in the morning they are 100%. All the same, I wish that Apple had put the charging port on the ""nose"" (front) of the mouse so that it could function like a regular wired mouse while charging. They charge VERY quickly too."
"March 11, 2025","A Love Story of Form Over FunctionThere it sits on my desk, a gleaming slice of minimalist beauty, mocking me with its perfectly curved surface and seamless touch controls. Like a toxic relationship I can't seem to escape, I keep coming back to the Magic Mouse despite knowing better. And yes, I too own multiple, as if collecting them might somehow justify the cognitive dissonance.Let's address the elephant in the room: charging it requires flipping it on its back like a helpless turtle, rendering it temporarily useless. It's perhaps the most infamous example of Apple's occasional triumph of aesthetics over practicality. Yet somehow, this design choice feels almost poetic in its absurdity – a metaphor for our willingness to sacrifice convenience for style.The touch surface is simultaneously brilliant and maddening. Gestures flow like water when they work, letting you swipe between pages with the grace of a digital ballet dancer. But attempt to scroll precisely through a document, and you'll find yourself performing micro-adjustments worthy of a brain surgeon.The ergonomics? Well, if you enjoy gripping a bar of soap made of aluminum and glass, you're in for a treat. The low profile forces your hand into a position that would make an ergonomist weep. Yet here I am, day after day, choosing this sleek rectangle over more comfortable alternatives, like someone who keeps wearing uncomfortable shoes because they look fantastic.Why do we do this to ourselves? Perhaps it's the way it perfectly matches our other Apple devices, creating that satisfying aesthetic harmony on our desks. Or maybe it's Stockholm syndrome, developed over years of Apple ecosystem investment.The Magic Mouse is a testament to our willingness to embrace beautiful imperfection. It's not the best mouse – not by a long shot – but like a painting that's slightly askew that you refuse to straighten, it has become part of your identity. It's a small act of defiance against pure rationality, choosing form over function while being fully aware of the trade-off.And so here we sit, you and I, with our collection of Magic Mice, simultaneously frustrated and captivated by their elegant flaws. At least they look good sitting there while we complain about them."
"March 9, 2025","I think this is possibly the worst designed product Apple has ever made, in my opinion. I see it as putting form well above function. It was like Apple decided to combine a mouse with a trackpad. In this case, the tracking is done by moving the trackpad around as opposed to using the pad to track. If I remember correctly, someone else on here referred to this mouse as an ergonomic disaster and I have to agree. The sides of this mouse are sharp and pinching with barely anything to grab on to. It appears the mouse was not designed with a consideration for where to put thumbs and any other fingers people might need to use to hold on to a mouse, or at least a spot where they can rest those fingers so they're not in the way. What's more, if my thumb drops as it is inclined to do due to gravity and because it is in pursuit of a stronger grip then my thumb gets pinched between the silver base and the white top part of the mouse that functions like a giant mouse button. It's like my thumb is in the way of this mouse doing what it wants to do. On the opposite side, my little finger gets dragged and pushed around on the mousepad as it has no place to go.To make matters worse, the white touch surface top does not feel secure. It rocks sideways ever so slightly. That loose top gets tiring after a while and I think it may be in part responsible for my struggles getting the mouse to start selecting text on the letter that I want it to start selecting on.The flat white surface of the mouse, the mini trackpad that doesn't track, is good for quick scrolling but there's a catch, I find it gets tiring after a while because my pointer finger is repeatedly hitting and gliding over a hard surface. Sometimes my fingernail scrapes along the surface as well. It was after my fingernail got caught scraping the top of the mouse while scrolling one day that led me to say to myself enough, I'm not using this anymore. In addition to the scrolling getting tired after a while, my index finger does drift over to the middle of the mouse. Having used ergonomic mice, I now believe that the flat shape is in part responsible because there is so little for my hand to grip on to. The drifting leads left clicks to turn into right clicks. It is annoying when I occasionally click on something expecting to select it or what not, only to see the context menu pop up instead. I also got this mouse for my mother to use and her finger drifts over to the right so often that I decided to turn off the right click function to help her out. She doesn't use the right click button so she isn't missing anything but others might have use for the right click button. Despite that, the scrolling feature gets in her way still and she uses that. Another issue both of us have with scrolling, and this is one of the most annoying things about this mouse, is that we often, her more than me I think, find ourselves scrolling sideways while scrolling down or up when we just want to scroll down or up. I've never had that issue on mice with scroll wheels, or any other mouse for that matter. There'd be times when I'd have what I'm looking at lined up just right and then when I scroll, I can't scroll down or up in a straight line with out it moving sideways at some point. Another annoying thing about the touch surface of the mouse is that occasionally I'll brush it with my finger when I'm in the process of putting my hand back on to the mouse after typing on the keyboard. That leads to something happening that I didn't want which needs to then be corrected.One of the bonuses of the touch surface is that it opens the door for tapping and swiping, adding functionality without the need for buttons. I never got comfortable with swiping on a mouse, while I just used tapping in order to use Mission Control. The way it is set up requires a double two-finger tap on the touch surface but what feels like half the time, I don't tap the top of the mouse right and I have to do it again until I get Mission Control to work. That issue didn't go away over time with practice. Tapping, for me, is not a replacement for a third button on a traditional mouse.Another negative, and this one is talked about a lot, is that the lightning port used for recharging is on the underside of the mouse which means in order to recharge the mouse it has to be on its side or laying down with its belly up. That of course means you can't recharge the mouse and use it at the same time.To make matters worse, there aren't many positives I find with this mouse. It is Apple's mouse, for one, and for that you are assured lasting compatibility with Macs. I've had multiple experiences where Logitech mice all of a sudden don't work properly or are not compatible after an update or with a new Mac. Two, the battery lasts a good amount of time. Maybe up to three months on a single charge. That seems good to me. However, I did encounter an issue when I recharged the mouse the first time. Despite following the directions on how to check when the mouse is fully charged, when I went to use it again the following morning I noticed that the charge was at 74%. It was at 12% before I recharged it the night before and said it was at 100% when I unplugged it. I had to recharge it a second time in order to get it up to 100%. Hopefully, that was just a one time issue. The third positive is that the mouse is lightweight. I prefer lightweight mice but in this case, it doesn't make up for the drawbacks. The fourth positive is that its shape and weight makes it easy to fit in a bag or in a pocket.In the end, the positives do not come close to outweighing its negatives for me. The key phrase is, ""for me,"" as there are people out there that prefer tapping and swiping and smaller mice. From my experience, seeing my mother's struggles and reading other reviews, this mouse is simply not for everyone and I don't fully understand why Apple designed it the way they did. Too much form over function to me. I would take a corded mouse over this one if I had to. Unless you prefer mice like the Apple Magic Mouse as opposed to a traditional style mouse with scroll wheels and a mouse like shape, I'd recommend trying out other mice first before paying for this one. Chances are you'll find something that's more comfortable and less frustrating to use for less money. But if you are willing to spend a bit more. Then there are mice out there like the Logitech MX Master which are designed to be more comfortable, may even feel like they are better made than the Magic Mouse, while having more features and capabilities."
